Nr,R_x,f_1,f_2,Generation,Rank
10,25-27-41-34-58-64-52-20-17-61-44*29-48-3-66-38-36-45-58-35-6-63-24-62-15-49-9-68*18-39-48-29-3-66-19-36-45-34-35-6-63-30-24*67-27-41-34-51-56-8-26-1-68-9*9-1-49-26-30-63-24-62-21-6-35-57-34-41-45-36-54-32-65-37-5-18-66-48-29-69-38*49-9-68-1-26-8-52-64-58-45-36-54-18-67-37-5-65*59-68-9-31-1-16-10-28-8-56-6-47-53-40-46*49-62-26-8-51-34-41-45-36-54-18-32-39*44-60-17-61-14-2-50-43-20-55-10-16-26-49-15-30*60-14-2-23-50-43-20-55-16-26-49-15-42-62-30-21-63*10-17-60-61-43-13-50-2-0-23-69-38-36-41-25-4-7-46-40-53*10-59-11-9-31-1-49-42-15-62-24-63-6-47-53-46-40-7-4-25-34-51-64-52-20-17-61-14-60-44*65-39-48-3-38-66-54-36-19-29-23-2-50-13-22-45-41-25-12-4-7-53-47-40-46*34-58-64-52-20-43-61-60-44-14-2-0-50-17-55-10-16-26-30-24-21-63-6-35-51*16-26-1-68-11-9-59-17-20-33-22-19-54-5-37-65-18-38-69*,25.15198035,1105,0,0
11,9-68-11-15-49-62-21-24-30-26-16-10-55-17-61-60*30-63-21-24-42-15-49-26-8-52-64-58-45-36-54-65-37-32-39-48-69-23-0*54-19-66-29-3-0-23-50-43-17-55-10-16-26-30-24-62*5-65-32-39-18-19-66-69-23-0-2-50-43-20-55-10-16-1-26-30-42-24-62-15-49-11-9-68-59-17*54-66-3-29-23-69-38-36-45-41-12-25-4-53-40*14-44-61-17-10-16-26-30-24-21-63-6-35-34-57*17-61-44-60-14-2-50-13-33-22-45-41-25-4-7-40-46-53*43-17-20-52-64-58-34-25-4-7-46-40*19-66-18-65-37-5-54-36-45-41-34-51-8-26-49-11-1*55-20-10-16-26-8-51-34-45-36-54-18-39-32-37-5-65*53-47-7-4-25-34-35-6-56-28-8-52-64-51*9-31-1-26-8-51-35-41-36-54-5-37-65-18*36-45-34-35-57-41-27-67-65-19-38-22-33-20-17-59-9-68-1-16-26*12-40-46-53-47-6-35-34-45-36-38-19-66-69-48-29-3-0-2-50*23-3-29-69-0-2-50-43-20-55-10-8-56-6-47-40-7-46*,25.43301474,1016,0,0
12,45-36-22-38-19-18-66-69-23-0-2-50-43-20-55-10-16-26-30-63-6-47-7-40-12-41-58-64-51-34*63-30-24-42-62-15-49-26-8-56-51-35-34-45-36-54-32-39-18-69-66-29-48-3*7-47-6-35-34-45-36-38-19-66-3-48-39-32*49-11-31-1-16-26-30-24-21-63-6-47-53-4-25-57-35-64-52-55-17*0-3-29-69-23-50-43-20-55-16-26-49-1-31-9-68-11-15*65-37-5-54-38-22-33-20-17-59-9-68*37-67-65-5-54-66-29-48-3-19-69-0-23-2-50-43-61-17-44-60-14*11-15-49-9-68-1-16-26-8-51-41-27-67-5-37-65*17-9-68-1-16-26-62-30-24-21-63-6-35-41-45-36-54-18-32-39-48-3-23-0-50-33-13-43-61*5-54-32-65-39-48-66-19-36-45-34-51-8-26-49-9-11-68-59*68-11-1-26-8-28-56-6-47-7-40-46*50-2-14-44-61-17-10-16-26-30-24-63-21-62-49-1-68-11*53-46-40-7-4-12-41-45-36-38-66-54-65*35-51-58-33-13-50-0-69-38-36-45-41-25-4-7-46*10-28-56-6-21-62-24-30-15-42-49-26-8-51-35-41-45-36-54-65-67-5-18-32-39-48-66-38-69-0*,25.05405546,1167,0,0
13,37-65-5-54-19-22-13-43-61-60-44-17-55*15-42-62-24-63-6-35-57-34-45-36-54-5-65-67-27-12-25-41*46-40-7-4-25-41-45-36-19-66-3-48-39-32-37*14-2-23-0-69-38-36-45-41-12-25-4-53-47-6*47-53-46-40-7-4-25-41-58-33-43-61-60-44*29-48-39-18-66-19-38-36-45-58-64-52-55-10-59-9-68-11-49*53-40-46-7-4-12-41-58-64-52-55-17-60-14-2-0-50*31-11-49-26-16-10-20-43-50-23-69-3-29-19*46-40-4-25-34-35-51-64-52-20-17-60-61-44-14*7-4-25-34-35-51-8-26-1-68-9-11-31*58-64-52-10-55-8-28-56-51-35-34-25-4-7-40-46*24-21-30-26-8-51-34-41-45-36-54-18-39*9-49-26-62-30-24-63-6-35-57-41-45-36-54-32-18-38-19-29-69*21-24-30-62-42-15-49-26-8-52-64-58-45-36-54-5-65-37-32-18-38-22-33-20-43-13*31-9-59-1-49-15-42-30-26-16-10-20-43-50-23-69-29-48-39-65-32-37-5-18*,25.83442271,964,0,0
14,49-15-62-42-24-63-6-35-34-45-36-38-19-66-69-0-50-17-20-43-13*58-64-52-20-43-50-2-14-44-61-17-10-28-8-56-6-47-53-40-7-46*27-12-40-46-7-4-25-41-45-36-38-19-66-48-39-32-54-18-5-37-67-65*19-65-39-48-29-69-3-0-2-50-43-17-10-16-26-30-24-63-6-56-28-8-52-64-35*30-24-21-62-49-9-11-31-1-16-26-8-56-6-47-53-7-40-46*47-53-4-12-25-34-57-41-36-38-22-33-20-55-10-16-26-30-62-42-24-21-6-56-51-35-58-64*52-10-16-1-26-8-51-34-25-4-7-40-46*11-1-9-16-26-8-51-35-34-45-36-38-66-48-39-65-32-18*50-23-3-69-29-48-39-32-5-67-37-65-18-54-36-45-58-64-52-8-26-1-31-9-68*68-11-9-59-17-20-33-22-38-54-32-39-48-69*13-43-20-52-64-51-35-34-41-12-27-25-4-53-46-40-7-47-6-56-8-26-30-24-21-63*61-14-2-50-33-58-41-25-12-4-7-40*21-24-42-62-15-49-26-16-10-55-20-43-50-23-0-69*60-44-61-43-13-22-38-19-54-5-67-27-12-25-57-34-41-45*67-5-65-54-32-18-69-29-3-66-19-38-36-45-34-35-6-63-24-62-42-15-49-26-1-11-59-9-68*,24.92090002,1186,0,0
15,5-54-32-39-48-66-38-19-29-3-69-23-50-43-20-10-16-26-49-15-11-1-31-9-68-59*30-42-24-62-15-49-26-8-56-51-35-34-41-27-67-5-37-32-39-48-29-3-0-2-14*53-46-40-7-4-25-57-51-64-52-20-17-60-44-14-61-43-13-50-33-58-35*55-8-10-16-1-49-11-68-9-59-17-20-33-22-38-19-18-39-48-3*23-0-50-43-17-10-55-16-26-30-24-62-15*39-48-69-19-36-41-25-4-40-46-7-53-47-6-63-30-26-16-10-55-52-64-51-58-33-13-43-17-20*21-24-42-15-49-1-26-8-51-41-45-36-54-18-39-32-37-5-65*29-48-66-38-36-45-34-51-8-26-49-15*52-55-10-59-68-9-11-31-1-16-26-8-56-6-47-7-40-46-53-4*39-65-37-5-18-54-36-45-34-51-8-26-1-31-11-68-9*59-1-26-16-10-55-20-33-22-38-66-69-0*32-54-38-66-19-29-23-50-2-14-44-61-17-10-28-8-56-6-47-53-4-12-25-41-45-36-22-13-43*9-68-11-15-62-24-63-6-35-58-45-36-38-19-66-29-3-69-48*24-21-62-30-26-8-51-35-34-41-45-36-54-65-5*62-24-21-6-63-30-42-15-49-26-8-51-35-34-41-27-67-37-32-39-65-5-18-19-66-54-38-36*,24.59390916,1189,0,0
16,60-61-43-50-2-0-3-66-38-36-45-34-57-35-6-63-30-26-1-49*15-42-24-30-62-26-49-11-31-9-68-59-17-50-23-69-3-48-39-18-54-36-45*34-57-35-6-47-53-40-46-7-4-25-41-45-36-38-66-48-29-69-23-50-2-0-3-19-65*42-24-30-21-62-15-49-26-16-10-17-43-50-23-69-18-32-5-37-65-67-27*62-24-63-6-47-7-40-4-25-12-27-41-34-58-64-52-20-17-61-60-44-14-2*26-16-1-49-11-68-9-17-20-33-22-38-19-54-36-45-58-34-35-57-51-56-28-8-55*13-20-55-17-9-1-26-8-28-56-6-47-7-40-46*35-57-34-58-64-51-56-8-52-20-55-10-17-44-60-61-43-33-22-38-54-5-37-67-65-18-32-39-48-29*21-63-6-47-53-46-40-7-4-12-25-41-34-58-33-50-2-14-61-17-59-1*67-5-65-32-39-18-69-29-3-23-2-50-43-17-10-16-26-30-24-21-62-15-42-49-11-59-68-1-31*46-40-7-53-4-12-41-58-64-52-20-17-61-44-60-14-2-23-29-69-3-0-50-33-43-13-22*66-19-65-67-37-5-54-38-36-45-34-35-6-63-24-62-42-30-15*37-65-39-18-32-54-19-66-48-3-29-69-23-2-50-43-20-10-16-1-26-30-24-62-49-15-42*8-56-6-47-53-46-40-7-4-25-27-67-5-37-65-19-38-69-29-3-23-50-43*63-30-24-42-15-49-26-8-51-41-45-36-54-65-39-48-3-23-29*,24.53229466,1418,0,0
17,54-36-38-19-66-18-5-67-65-37-32-39-48-3-0-69-23-2-50-43-61-44-60-14*39-65-5-54-36-45-34-35-51-56-8-26-49-1-16-9*38-19-66-29-69-23-50-43-17-10-16-26-62-30-63-21*33-43-13-22-19-66-48-39-32-5-54-36-45-34-57-35-6-63-21-62-24-30-26-49-1-59*59-1-16-10-52-64-58-45-36-54-65-18*28-56-6-63-21-24-62-42-15-49-26-8-51-35-34-41-36-54-18-39-48-69-3-29-23-0-2-50-13*55-8-26-1-59-11-49-62-42-24-21-63-6-35-34-45-36-54-5-37-67-27-41-58-51-57*42-15-49-11-31-1-26-16-10-55-17-50-0-69-38-36-45-41-25-4-40-46-7-53-47-6*2-14-61-17-20-13-22-38-66-3-69-23-50-0*46-53-4-25-27-12-40-7-47-6-56-8-10-17-61-44-60-14-2-0-50-43-33-22-38-18*10-55-20-33-13-43-50-17-59-68-11-1-26-8-56-6-47-53-7-40-4-12-41-25-34-57-35-51-64*42-30-24-62-15-11-9-68-1-16-55-8-56-28-10-20-52-64-51-35-57-25-4-40-46-53-7-47-6*42-30-24-21-6-56-8-10-59-68-1-31-11-9-17-20-33-22-38-19-54-32-37-67-65-5-18-39*36-38-69-3-23-2-50-33-22-45-41-25-4-7-40*23-2-50-0-69-48-39-18-65-19-29-3-66-38-36-41-12-4-7-40-46-53-47*,24.56564062,1394,0,0
18,26-16-10-55-20-33-22-38-19-3*31-1-26-8-28-56-6-47-53-40*13-33-22-45-36-38-69-0-2-50*37-5-54-36-45-58-64-52-8-26*2-50-43-20-55-10-16-1-26-30*0-69-38-36-45-41-12-25-4-53*14-44-17-10-8-28-56-6-47-53*54-19-22-33-20-17-59-9-68-11*42-15-49-26-8-51-35-34-41-27-67*26-16-10-20-43-50-23-69-29-48*2-50-43-17-10-16-26-30-24-62*21-24-30-26-16-10-17-61-60-44*17-20-33-22-19-54-65-39-18-66*32-54-36-45-41-34-57-35-6-63*46-40-7-4-25-41-58-33-43-61*,28.95788534,558,0,0
19,27-41-34-58-64-52-20-17-61-60*46-40-53-47-6-56-28-8-10-59*32-39-18-54-36-45-58-51-35-6*23-2-0-69-3-66-19-38-22-33*29-48-66-19-36-45-34-35-51-8-26-62*4-25-12-41-45-22-13-50-2-14*7-4-12-25-41-34-57-35-6-47*50-43-20-55-10-16-26-30-24-21*63-21-24-30-26-16-10-17-61-60-44*5-18-54-36-45-58-64-52-10-16*68-9-11-31-1-26-8-51-41-45*49-26-16-10-55-20-33-22-19-66*37-65-5-54-19-22-33-43-61-60*22-33-20-55-10-16-26-49-15-42*12-25-27-41-36-54-18-5-37-67*,29.62626352,534,0,0
20,37-65-54-38-22-33-20-17-9-68*26-16-10-55-20-33-22-19-66-48*57-35-6-21-24-30-26-16-10-55-20-17-61-60*5-54-36-45-34-35-51-8-26-62*23-50-43-20-55-10-16-26-49-42*32-39-18-54-36-45-58-64-52-10-16-1-31*2-50-33-58-34-41-12-4-7-40*9-68-1-26-8-56-51-41-27-67*3-29-69-23-50-43-17-10-16-26-62-15*47-6-56-8-55-10-17-61-44-14*13-50-0-23-69-38-36-41-25-4-7-46*11-1-26-8-56-6-47-53-7-40*9-68-59-10-28-8-56-6-47-53*63-24-30-26-16-10-20-43-50-23*28-8-56-6-35-34-25-12-4-40*,27.74244745,604,0,0
21,59-17-20-33-22-38-19-54-18-32*6-56-28-8-10-55-17-61-60-44*3-66-38-36-45-34-57-35-6-63-21*4-25-27-41-36-54-18-5-37-67*22-33-20-55-10-16-26-49-62-42*26-8-28-56-6-47-7-40-46-53*68-11-9-59-17-20-33-22-38-19-18-39*23-50-43-17-10-55-16-26-30-24*0-50-43-17-55-10-16-26-30-24*14-2-50-13-33-58-34-25-4-40*64-52-20-17-50-23-69-38-36-45*15-49-26-16-10-20-43-50-23-69-29*63-6-35-34-45-36-54-18-5-65*12-25-41-34-35-51-8-26-1-31*7-4-25-41-45-36-38-19-66-48*,29.29141249,554,0,0
