Nr,R_x,f_1,f_2,Generation,Rank
16,15-10-27-16-7-20-24*9-3-23-14-20-24*0-18-22-17-11-14-23-9*14-4-24-20-7-27-16*21-10-15-2-29-27*14-11-17-0-18-22-25*17-22-0-18-13-6-5-21*0-18-19-12-17-11-25*20-23-1-3-24*19-17-18-22-0-12-8-26*19-18-0-17-28-25*4-14-24-20-7-28-25*,21.66895604,236,0,1
17,3-1-9-14-20-7-16-6*13-6-16-7-25-22-18-0-26*4-24-14-7-27-2-29*5-6-13-18-0-25-28*8-19-12-17-22-0-13*0-22-17-11-14-1-3-9*8-12-19-17-28-16-27-10*4-20-24-23-1-9-14*9-23-14-7-27-10-15*5-21-10-27-7-4-24*6-13-0-18-22-19-17*1-3-24-20-7-16-6-5*,17.98629296,287,0,1
18,12-17-0-18-22*11-17-18-0-13-6-21*0-26-8-12-22-17*5-21-6-10-27-16*7-16-27-2-10-21*4-20-7-24-3-23*12-19-17-28-25-7-24*1-9-23-14-20-7-27*15-2-29-27-7-20*1-4-3-9*4-24-14-7-27-2-29*1-3-14-11-17-22-19-12-8*,20.50546528,240,0,1
19,12-19-17-28-16-27-2-29*15-21-10-16-7-27*8-26-0-17-22-19-12*4-24-20-7-25-28-0-18*14-1-3-23-24*9-14-11-17-0-18-22*19-17-22-18-13-6-5-21*9-1-3-24-4-14-11*9-14-7-27-10-15-21*20-14-23-3-24*15-10-27-7-20-14-24*8-12-19-22-25-7-27-29*,18.81479425,261,0,1
20,19-22-17-28-25-7-24*3-1-23-14-11-17-22-0-26*22-25-0-18-12-8-26*5-21-10-27-7-16*20-24-4-7-27-2-29*1-23-14-20-7-16-6-5*11-17-22-18-0-13-6-21*15-2-27-7-25-28*3-1-23-14-9*3-1-23-24-4-20*2-29-27-7-20-24-4*1-23-14-20-24-4*,19.40106968,248,0,1
21,5-21-6-13-0-18-22-17*6-15-10-27-16-7*3-9-23-14-20-7-27*24-20-7-27-16-28-25*17-22-18-0-12-8-26*9-3-1-14-11-17-22-0-26*2-15-10-27-7-16*22-19-17-28-25-7-27*9-1-3-23-4-24*16-27-2-29-10-21*16-28-25-7-24-4-20*25-22-0-28-7-16-27*,19.40057283,249,0,1
22,10-2-29-15*3-1-24-20-7-27-15*10-27-16-28-25-22-18*4-20-24-23-1-9-14*0-18-22-17-11-3-1-9*8-12-0-18-13-6-15-10*19-12-0-18-13-6-5-21*12-17-19-22-18-0-26*3-1-14-24-4-20*16-28-25-0-22-17-18*4-24-20-7-16-10-21*1-9-23-14-20-7-16*,19.90936989,245,0,1
23,8-12-19-17-28-16-27-10*19-22-0-28-16-27-2-29*1-24-20-7-27-29-2*7-20-14-11-17-18-0-25-28*15-27-7-25-22-18-0-26*3-1-23-24-4-20*8-12-19-17-22-0-13-6-21*9-1-3-11-17-22-0-18-13*4-7-16-27-10-21-5*22-18-0-28-25-7-16-27*9-1-23-14-7-27-10*8-12-19-22-18-0-25*,18.06143325,286,0,1
24,10-29-2-15*10-2-29-27-7-24*0-18-22-19-17-28-16-27*13-6-16-7-25-28-17*4-24-20-7-16-27-10*12-19-22-17-11-25*23-1-3-24-7-28*17-22-18-0-19-8-26*2-27-7-20-24-14-23*15-16-27-2-21*9-3-1-24-4-20*6-5-21-15-2-29*,22.31684007,233,0,1
25,7-25-0-18-17-11*6-16-7-20-23-3-1-9*4-24-14-23-1-3-9*11-25-28-0-12-19-17-22*5-15-10-2-27-7*8-19-17-22-25-28-16*5-21-10-2-29-27*26-0-18-17-28-16-27-29*5-21-6-13-0-18-12-19*2-27-7-28-17-19-12*4-24-20-7-16-15-10*13-18-0-22-17-11-14-24*,18.35062544,265,0,1
26,6-15-10-29-2-27*10-27-7-20-24-14-23*10-16-28-25-22-19-12*11-17-18-0-13-6-21*9-3-1-23-14-7-27-29*3-23-14-11-17-19-12-8*5-21-6-16-7-20-14*3-9-14-11-17-22-0-26*24-4-20-7-16-27-29*27-10-15-16-7-25-0-28*16-7-4-24-3-23*7-20-14-11-25-28-16*,18.095657,282,0,1
27,1-3-23-14-7-27-10-21*15-2-29-27-7-20*14-20-7-28-0-22-17*19-17-28-25-7-20-24*5-21-6-13-0-12-8-26*3-23-14-11-17-18-0-26*21-15-10-16-27-29*3-24-4-7-16-6-5*9-3-1-23-20-7-25*5-15-2-21*0-18-22-25-7-20-24-4*10-27-16-28-25-22-0-26*,18.17459668,278,0,1
28,1-9-23-14-11-17-22-18*1-24-4-3*8-12-19-22-18-0-13-6-21*19-22-25-28-16-27-2-29*2-27-7-28-0-22-17*5-21-10-27-7-28-25*5-21-15-6-13-18-0-26*1-3-23-20-7-16-15*8-12-19-22-0-25-28*9-1-14-7-27-10-15*11-14-24-4-7-27-29*12-22-18-0-25-28-16*,18.24666823,271,0,1
29,24-20-7-16-27-2-29*17-19-22-25-7-16-28*13-18-0-25-7-20-14-23*12-19-17-11-14-20-24*8-12-19-17-28-16-10-15*13-6-21-15-10-2-29*3-1-23-24-4-20*10-15-6-13-18-22-0-26*9-3-1-23-14-7-27-29*3-1-24-20-7-16-6-5*6-13-18-0-19-17-11*0-28-17-22-19-12-8*,18.10094693,279,0,1
30,0-22-18-17-11-14-24*20-24-4-7-27-2-29*9-3-23-14-20-24*19-17-22-12-0-25-28*13-6-21-15-10-2-29*2-29-27-16-28-17-22*0-17-22-19-8-12*5-6-16-7-20-23-1-9*16-7-25-28-17-22-0-26*0-18-22-17-28-16-10-15*7-28-17-22-18-0-13*9-1-14-7-27-10-21*,18.50607903,262,0,1
31,9-1-23-14-7-27-10*5-21-6-15-2-29-10*1-9-3-11-17-22-0-18*6-21-10-16-28-25*6-13-0-18-22-17-12-8*26-0-22-18-12-19-17-28*23-14-24-7-27-2-29*4-24-20-7-25-22-0-18*0-18-22-25-28-7-16-27*5-6-21*11-25-7-20-24-14-23*16-7-28-0-18-22-19*,19.23696516,255,0,2
32,8-12-0-18-13-6-10-15*3-1-23-14-20-7-10*10-27-16-28-0-18-17*4-14-24-20-7-28-25*18-22-25-7-27-2-29*8-12-19-22-25-28-16*1-9-23-14-11-17-12-8*5-21-10-2-29-27*24-20-7-25-22-18-0-26*4-20-24-3-9-23*20-14-23-3-24*2-29-27-7-28-16*,19.09068857,257,0,2
33,3-1-23-14-20-7-16-6*1-3-23-20-7-10-15*7-24-14-11-25-28-16-27*11-25-22-17-12-19-0-28*2-29-27-7-20-4-24*3-9-1-23-14-11-17-19*23-1-3-11-17-18-0-26*21-15-16-27-2-29*8-12-19-22-18-13-6-15*13-18-0-25-28-16-6-5-21*12-18-0-25-28-16-6-13*12-19-17-28-25-7-24*,18.00657587,300,0,2
34,5-21-15-10-27-7-20*4-20-7-25-22-18-0-26*7-20-14-11-17-18-22-0-28*11-3-4-24-14-23*22-25-0-18-12-8-26*5-21-6-13-18-0-19-12*14-24-4-7-27-2-29*1-3-23-14-11-17-19-12-8*13-6-16-28-0-22-17-19*9-1-3-11-17-18-0-26*4-24-23-14-7-16-27*6-16-7-14-23-3-1-9*,18.0294599,293,0,2
35,11-25-28-7-27-10-15*1-3-24-4-7-2*7-28-0-18-17-11*18-12-17-19-22*1-3-23-20-7-28-17*5-6-16-7-20-4-24*13-0-22-25-7-20-14*24-7-28-17-22-18-0-26*5-15-21*2-7-27-29*14-1-23-9-3-24*19-17-22-18-0-12-8-26*,20.83051789,240,0,2
36,21-10-27-16-7-28*10-7-16-27-2-29*19-17-22-0-13-6-5-21*7-16-27-15-10-2-29*9-23-14-20-7-27-2-29*3-1-9-23-14-11-17-22*12-18-0-25-22*14-7-20-4-23*16-27-7-4-24-23*8-12-19-17-22-0-26*3-4-24-20-23*11-25-28-17-22-0-12*,20.75064297,241,0,2
37,11-3-1-23-14-24-20*1-3-23-14-20-7-27-29*20-7-14-11-17-22-0-25-28*7-25-28-17-19-12-8*10-15-27-16-7-20-14*13-6-16-28-0-18-22-17*1-3-9-23-14-20-24*11-17-22-18-0-13-6-21*4-24-20-7-27-15-10*6-15-10-29-2-27*0-26-8-12-18*5-21-15-10-27-7-24*,18.91954057,261,0,2
38,17-22-25-28-7-16-27*12-22-18-0-19*4-14-24-20-7-28-25*4-24-14-23-3-11*5-21-15-10-6-13-0-22-18*1-24-4-3*18-22-25-7-27-2-29*0-26-8-12-18*9-1-3-11-17-22-0-12*5-21-10-27-7-20-14-23*10-27-7-28-0-18-22*28-25-7-27-10-2-29*,19.76698036,248,0,2
39,21-5-6-13-18-22-0-26*0-22-17-11-3-9-23*6-15-10-29-2-27*1-9-23-14-11-17-22-18*4-24-20-7-27-10-15*7-25-28-17-19-12-8*21-15-2-16-27*3-1-9-23-20-7-16*19-18-17-22-0-12-8-26*1-24-3-9*6-16-7-20-24-4-23*8-19-12-17-22-0-13*,19.59098083,250,0,2
40,1-9-23-14-11-17-22-18*11-17-22-0-28-7-16*17-22-25-28-16-7-20*1-3-14-20-7-28-25*12-17-22-18-0-26*7-16-27-29-2-10-15*5-21-6-13-0-18-19-22*1-4-24-20-14-3-11*18-0-22-17-19-8-26*6-16-7-20-23-1-3-9*15-10-16-7-20-14-24*3-9-1-24-4-14*,19.57671849,251,0,2
41,3-1-23-14-20-7-16*15-27-7-25-22-18-0-26*5-21-6-16-27-7*2-29-10-21-5-6-13*4-23-3-1-24*19-22-18-17-28-25*13-0-18-22-17-11-14-24*12-17-19-0-22-18*9-1-3-24-4-14-11*8-19-22-17-28-25*10-27-16-28-0-22-18-13*27-16-2-10-29*,20.42386603,245,0,2
42,1-9-23-14-11-17-22-19*6-13-18-0-22-17-12-8*14-7-28-17-22-18-0-26*2-7-16-6-21-10-15*4-24-20-7-16-15-10*12-19-17-28-25-7-27*2-15-10-29*4-20-24-3-9-23*2-10-15-21-5-6*13-18-22-17-28-7-16*9-1-3-23-20-24*12-17-19-18-0-26*,20.1679039,246,0,2
43,20-14-11-25-28-7-27*8-12-19-18-0-25-28*16-27-7-28-0-22-18*18-22-0-13-6-15-5-21*10-16-28-17-22-19-12*1-23-14-20-24-4*1-3-23-9*16-27-2-15-10-21*10-2-29-27-16-28-25*9-1-23-14-11-17-22-0-26*4-24-7-16-6-21-5*17-11-25-0-18-22*,20.01452537,247,0,2
44,16-27-7-28-25-0-22*1-3-9-23-20-7-16*12-18-17-19-22*5-6-16-27-15-2-10*5-6-13-0-17-22-19-12*2-27-10-15-21-5*10-2-29-27-7-24*3-1-23-14-9*0-18-19-12-17-11-25*4-1-23-14-20-24*8-12-19-17-22-25*0-26-8-12-19-17*,22.5047054,235,0,2
45,19-17-22-25-28-7-27*8-19-22-25-11-17*4-24-20-14-7-16-6-5*7-20-24-3-1-23*3-23-20-7-27-10-21*6-16-28-25-0-22-12*7-16-27-2-10-15*3-9-23-14-11-17-12-8*4-24-20-7-16-2-29*1-9-3-11-17-22-0-18*8-12-0-18-13-6-10-15*17-22-18-0-19-8-26*,18.49684358,268,0,2
46,13-18-0-22-17-28-16-6-21*5-21-15-27-7-20-14*4-7-25-22-17-19-8*1-3-23-14-11-17-19-12*1-3-23-9*4-24-7-16-27-2-29*14-24-20-7-27-10-15*1-3-14-11-17-22-18-0-26*6-15-2-27-7-20*10-15-27-16-7-25-28*5-21-6-13-18-22-17-11*9-23-14-7-16-6-21*,18.27539747,275,0,2
47,21-5-6-13-0-19-22*16-6-10-15-27*6-21-15-16-28-25*5-21-10-27-7-20-14-23*15-10-2-29-27-7-20*0-22-17-28-16-2-29*23-1-3-11-17-22-18-0-26*9-1-23-14-20-7-25*8-12-19-22-25-7-27-29*5-6-16-7-20-4-24*7-20-23-3-1-9*11-17-18-0-13-6-21*,18.29380991,274,0,2
48,14-20-7-25-22-17-19*4-24-20-14-7-16-6*19-22-0-28-16-27-2-29*9-23-14-20-7-25-28*21-10-27-16-7-28*3-9-23-14-11-17-22-18*13-18-0-25-28-16-27-15*12-19-22-18-13-6-5-21*9-1-3-23-20-7-27*8-12-19-17-28-16-27-10*23-9-3-11-17-22-0-26*12-18-0-28-25-11-17*,18.19584405,279,0,2
49,17-19-12-22-25-7-16-28*1-3-24-4-7-27-29*2-27-16-28-25-22-0-26*1-23-14-11-17-22-18-0-26*14-24-20-7-27-10-21*1-3-24-20-7-16-6-5*8-12-18-13-6-15-10*1-9-3-23-14-7-24*24-14-20-4-7-25-28*10-15-27-16-28-25-22*1-9-3-11-17-0-22*2-29-27-16-7-20-24*,18.12464929,286,0,2
50,21-5-6-16-28-25-22*25-11-17-19-0-28*10-2-27-7-16-28*1-3-23-14-11-17-12-19*7-25-22-0-18-12-8*14-20-7-25-0-22-17*9-1-3-24-4-14*10-15-6-13-18-22-0-26*10-29-2-15-5-21*9-1-14-11-17-22-0-18*5-21-15-10-27-7-24*4-24-20-7-16-28-25*,18.72767126,262,0,2
51,12-19-17-11-14-20-24*2-27-7-20-24-1-3*18-0-22-17-28-7-27*16-27-7-20-14-23-24*24-4-7-27-16-28-25*7-16-27-10-15-21*11-25-22-17-12-8-19*6-15-10-29-2-27*11-17-22-0-18-13-6-21*1-3-23-9-14-20-24*11-25-28-16-6-5-21*26-0-18-22-25-7-27-29*,18.62137596,263,0,2
52,4-24-7-27-15-21-5*1-3-14-20-7-25-28*10-29-2-15*12-19-22-17-28-7-27*2-10-27-16-7-28*1-3-14-20-7-16-6-5*3-23-14-11-17-22-19-12*26-0-18-17-28-16-27-29*0-26-8-19-18*6-13-18-0-22-17-28*14-11-3-9-1-23*11-3-4-24-14-23*,19.49412556,256,0,3
53,12-19-22-25-7-20-14*21-15-10-27-16-28-25*1-9-3-11-17-22-18-13*2-29-27-7-28-25-11*21-5-6-13-18-0-17-22*3-1-9-23-24-20*4-24-20-7-16-27-15*0-26-8-12-19-17*0-18-22-17-28-16-27-29*9-23-14-20-7-27-16*4-20-7-28-0-22-17*2-29-27-7-24-14-23*,19.1918693,257,0,3
54,5-21-15-16-28-0-13-6*1-3-23-14-20-7-16-6*10-27-7-28-17-22-18*1-4-20-7-25-22-17-11*4-20-7-24-3-23*6-16-28-25-22-19-12*5-21-15-27-2-29*8-12-19-17-22-0-26*9-1-3-24-23*9-1-3-11-17-18-0-26*2-16-6-21-15-10*5-21*,19.11807342,259,0,3
55,4-24-20-7-25-0-18-22*1-23-14-20-7-27-10*5-21-6-16-28-25-22*9-1-3-11-17-22-0-12*3-9-23-14-11-17-19-8*2-29-27-16-7-24-4*2-16-6-5-21-10-15*5-21-6-13-0-19-12-8*0-26-8-12-22-17-19*6-13-0-28-25-7-27-2-15-5-21*14-20-7-16-28-17-22*8-12-19-17-22-0-13*,18.03182722,305,0,3
56,1-3-9-23-20-7*11-14-24-4-7-27-16*16-2-10-15-27*4-20-7-25-28-17-19*5-21-6-13-18-0-12-19*19-0-18-22-17-11-14-23*15-27-7-25-22-18-0-26*23-20-7-16-27-2-29*0-26-8-12-18*1-3-23-9*3-11-14-23-1-9*24-4-20-7-27-2-29*,21.43345219,240,0,3
57,6-16-28-0-18-22-17*21-15-2-16-27*8-12-0-22-17-11-14-23*10-21-5-15*27-29-2-16-7-25-28*14-7-20-4-23*8-19-12-17-22-0-26*4-20-24-3-9-23*3-1-9-23-20-7-16*12-22-0-18-13-6-5-21*0-18-22-25-28-7-20*11-17-22-0-25-7-20*,20.86278349,244,0,3
58,15-10-2-27-7-20*20-23-3-24*3-4-7-20-24-14*3-1-9-23-20-7-16*3-1-9-23-14-11-17-22*7-14-11-25-28-16*13-18-0-25-28-7-27*5-6-13-18-0-25-28*8-26-0-19-17-12*15-21-10-16-27-29*12-19-22-17-28-16-27-29*18-12-17-0-22*,20.93584873,243,0,3
59,14-20-24-4-7-27-16*1-3-23-14-11-17-22-0-26*6-13-18-22-0-25-28*3-1-24-20-7-2-29*12-0-22-17-19*19-22-0-18-13-6-5-21*5-21-15-27-2-29*6-10-21-15-2-29*8-19-17-22-25-28*1-3-23-9*21-10-15-27-7-14-23*11-14-24-4-7-27-29*,21.23556231,242,0,3
60,14-3-24-4-7-16*0-22-25-28-16-27-10*5-21-6-13-0-18-19-12*1-23-14-24-20-4*1-3-23-14-11-17-19-12*21-15-16-27-2-29*9-3-1-4-23*11-17-19-12-18-22-0-26*8-12-19-17-22-0-26*24-4-7-25-28-16-27*8-12-19-17-11-14-20-24*19-0-17-22*,21.28442834,241,0,3
61,16-27-7-25-28-0-22*13-18-0-22-17-11-14-20*0-18-22-17-11-3-1-9*25-0-18-22-19-12-8-26*5-21-10-27-7-14-23-9*0-22-25-11-14-24-20-7*2-29-27-16-7-20-23*2-10-15-21-6-16*9-23-1-24-4-14*12-19-17-28-16-10-15*23-4-1-3-24*12-17-19-18-0-26*,19.03492518,261,0,3
62,13-18-0-22-25-7-27*15-10-27-16-28-17-19*3-1-9-23-14-7-24*19-12-22-17-28-25*0-26-8-12-22-17*0-22-18-13-6-5-21*1-3-23-24-4-20*2-27-7-20-24-1-9*20-14-7-16-27-2-29*3-23-14-11-17-18-0-26*8-12-19-18-0-25-28*21-2-27-16-28-25*,19.80582184,249,0,3
63,1-14-20-7-25-28-17*12-19-22-0-28-16-27-29*4-20-7-24-3-23*0-28-17-22-18*5-21-15-27-7-20-14-23*10-29-2-15*1-9-23-14-11-17-22-19*6-13-0-22-17-19-12-8*26-0-18-22-17-28-7-27*0-18-22-17-28-7-14-11*7-25-22-17-19-12-8*5-6-21*,19.84714753,248,0,3
64,7-27-16-28-17-19-22*12-18-0-25-28-16-6-13*14-20-7-25-28-17-22*3-1-9-23-14-11-17-22*1-3-14-24-20-7*14-24-20-7-27-2-29*4-23-3-1-24*14-20-7-25-22-18-0-26*15-10-27-16-7-28-25*4-24-7-16-6-21-5*0-22-18-19-17-12-8*16-15-10-27-2-29*,19.72217676,251,0,3
65,4-20-24-14-7-27-16*1-3-23-20-7-27-2*5-21-10-2-27-7*10-2-15-27-29*5-6-13-0-18-22-17-11*4-24-20-7-25-22-18-0-26*21-10-2-27-16-28*12-19-18-0-25-28-16*8-19-17-22-25-28*9-23-3-11-17-22-0-18*12-19-17-28-7-20-14*9-3-23-14-20-24*,19.58496025,252,0,3
66,8-12-19-22-25-11-14*3-11-14-1-9*8-12-18-0-25-28-16-27*6-15-10-16-27-7*18-17-0-22*15-16-27-2-21*9-1-23-14-20-7-25*4-24-20-7-16-28-25*26-0-18-17-28-16-27-29*13-18-0-22-17-11-14-23*5-21-15-10-27-7-14*3-1-23-14-9*,20.52682955,245,0,3
67,9-3-23-14-11-17-22-19*10-27-16-7-28-25-11*0-18-12-19-17-11-14*6-13-18-0-22-19-17*0-25-28-16-6-21-5*4-20-7-25-28-17-22*10-27-16-28-25-22-0-26*1-3-23-20-7-28-17*2-29-27-16-7-14*2-10-15-29*1-4-24-3*17-22-18-0-19-8-26*,20.17418751,246,0,3
68,14-1-3-23-24*23-3-24-20-7-25*6-15-10-27-16-7*4-20-7-25-0-18-12*3-23-14-11-17-22-18-0-26*0-22-18-17-28-7-20*0-17-22-19-8-12*10-2-29-15*21-15-10-6-13-18-0-26*6-16-7-20-14-23-3-9*5-6-13-18-0-28-25*7-16-28-17-22-0-18*,20.11047463,247,0,3
69,16-10-2-29-27*26-0-22-25-28-16-27-10*1-3-9-23-20-7-16*6-15-2-27-7-20*5-15-10-2-27-7*4-1-24-3-9-23*25-11-17-18-0-28*17-28-25-7-20-14-24*8-19-22-18-0-25-7-20*5-21*13-18-0-22-17-11-14*11-25-28-0-12-19-22-17*,22.84966098,238,0,3
70,0-26-8-19-12-22*18-22-0-13-6-15-5-21*4-24-7-16-6-21-5*10-16-28-25-0-18-22*9-1-24-7-27-10-15*11-25-28-17-22-0-12*14-20-7-25-22-17-19*1-3-9-23-14-11-17-22*10-2-29-15*6-16-7-4-24-14-23*1-9-3-11-17-22-0-13*9-23-20-7-27-15-21*,18.55120412,268,0,3
71,12-22-18-0-19*19-12-0-18-13-6-5-21*2-6-15-16-7-27*6-10-27-7-20-14-24*6-13-18-22-0-28-25*23-1-3-11-17-18-0-26*2-27-16-28-17-22-19-8*2-29-27-16-28-17-19-8*23-14-24-4-20-7-27*9-1-3-23-20-7-27*6-10-27-7-28-25-22*4-24-14-11-17-22-19-12*,18.54708324,276,0,3
72,4-24-14-23-1-3-9*20-7-14-11-17-18-22-0-28*9-23-14-20-7-27-2-29*15-16-28-0-22-17-19*2-10-15-21-5-6-13*4-24-14-11-17-19-12-8*13-18-0-22-25-7-16*8-26-0-17-19-12*3-1-23-14-7-16-6-5*10-27-7-20-24-14-11*26-0-22-18-12-19-17-28*1-9-3-11-17-22-19-12*,18.44464578,277,0,3
73,1-3-9-23-14-11-17-22*17-22-18-0-19-8-26*1-3-23-20-7-27-10*25-11-17-19-12-18-0-26*13-18-0-25-28-16-6-5-21*17-28-16-27-10-15-21*7-16-27-29-2-10-15*4-24-20-7-16-10-15*19-12-0-18-13-6-5-21*1-9-23-14-11-17-12-8*13-18-22-25-7-20-14*3-4-20-24-14-23*,18.37403554,279,0,3
74,3-23-20-7-27-10-15*1-4-20-7-25-22-17-11*18-22-0-28-7-16-27*8-12-18-0-25-28-16-27*9-3-23-14-11-17-19-12*12-17-18-22-0-26*21-15-10-29-2-27*6-15-10-27-7-28-0-18-13*4-20-24-14-7-25-28*5-6-16-7-20-4-24*1-3-9-23-14-7-16-6*19-17-22-18-13-6-5-21*,18.21922492,285,0,3
75,5-21-15-29-2-27*10-15-27-7-20-14-11*15-16-28-25-22-17-19*3-1-23-20-7-16-6-5*17-11-25-28-0-12-18*23-4-24-20-7-25*12-19-0-18-13-6-5-21*4-24-20-7-25-22-18-0-26*0-18-22-17-11-3-9-1*18-22-0-17-19-8-26*6-13-18-0-22-17-28*8-12-0-18-13-6-15-10*,18.23971242,280,0,3
76,0-22-25-28-16-27-2*9-1-3-11-17-22-18-0-26*4-24-20-7-25-0-18-22*9-14-7-27-10-15-21*11-25-0-18-17-12-8-19*5-21-15-10-27-7-20*0-18-19-17-28-16-6*5-15-10-6-13-0-22-17-18*3-23-14-20-24-4*26-0-18-22-17-28-16-27-29*0-22-17-28-7-14-11*5-21-6-13-0-18-19-22*,18.16124036,293,0,3
